area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,lat,lon
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1075,2.0,2.0,53.0,2.0,1075.0,12.8701259,77.5820178
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1163,2.0,2.0,62.0,3.0,1163.0,12.9244884,77.6451418
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,,1200,2.0,0.0,65.0,2.0,1200.0,13.0105743,77.6932572
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,3090,4.0,,325.0,4.0,3090.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1299,2.0,1.0,100.0,2.0,1299.0,13.0382184,77.5919
Built-up  Area,18-Dec,Electronic City,2 BHK,,1130,2.0,1.0,32.63,2.0,1130.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,,1170,2.0,2.0,75.0,2.0,1170.0,13.0141515,77.6340564
Super built-up  Area,18-Mar,JP Nagar,3 BHK,Shestut,1750 - 2640,,,152.0,3.0,2195.0,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,NCs 2rj,2600,4.0,3.0,175.0,4.0,2600.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,KR Puram,2 BHK,LVniaar,1140,2.0,1.0,43.32,2.0,1140.0,13.007516,77.695935
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Goelsn ,1900,3.0,3.0,125.0,3.0,1900.0,12.8856913,77.5526564
Built-up  Area,18-Jul,Bommasandra Industrial Area,2 BHK,,1090,2.0,1.0,31.48,2.0,1090.0,12.8137512,77.6953367
Super built-up  Area,Ready To Move,Electronic City,2 BHK,YCnce R,1110,2.0,1.0,39.95,2.0,1110.0,12.8487599,77.648253
Super built-up  Area,18-Jan,Nagavarapalya,1 BHK,PuonsSe,705,1.0,1.0,57.0,1.0,705.0,12.9866903,77.6577863
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Visom B,1089,2.0,1.0,60.0,2.0,1089.0,13.031992,77.6280789
Plot  Area,Ready To Move,tc.palya,2 Bedroom,,880,2.0,1.0,48.0,2.0,880.0,13.0226152,77.7057327
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,Jaood G,1080,2.0,2.0,32.0,2.0,1080.0,13.0794507,77.5155027
Super built-up  Area,18-Feb,Thanisandra,2 BHK,Bhmesy ,1093,2.0,1.0,68.1,2.0,1093.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1703,3.0,2.0,125.0,3.0,1703.0,13.0720352,77.6333905
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1200,2.0,1.0,60.0,2.0,1200.0,13.0382184,77.5919
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Asintas,1690,3.0,2.0,116.0,3.0,1690.0,12.9552572,77.6984163
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1305,2.0,1.0,78.0,2.0,1305.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Subash Nagar,2 BHK,,1150,2.0,2.0,45.0,2.0,1150.0,12.9284049,77.5179223
Plot  Area,Ready To Move,Anekal,3 Bedroom,,1500,4.0,1.0,99.0,3.0,1500.0,12.7836552,77.7461411
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,980,2.0,1.0,38.19,2.0,980.0,13.0367725,77.6549479
Plot  Area,Ready To Move,Hosakerehalli,3 Bedroom,,1200,2.0,1.0,100.0,3.0,1200.0,12.9299371,77.5374237
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKe 2nz,2225,3.0,1.0,149.0,3.0,2225.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Ashirvad Colony,2 BHK,Oce 1nd,1022,2.0,2.0,57.0,2.0,1022.0,12.9398513,77.5740326
Plot  Area,Ready To Move,Sidedahalli,4 Bedroom,,882,3.0,0.0,72.0,4.0,882.0,13.0625424,77.4953754
Built-up  Area,Ready To Move,Narayanapura,2 BHK,Shsom B,1153,2.0,2.0,45.0,2.0,1153.0,13.0716969,77.6193949
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1175,2.0,2.0,60.0,2.0,1175.0,12.993111,77.6666772
Built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Suent A,1560,3.0,3.0,68.0,3.0,1560.0,13.0766407,77.5577315
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,,650,1.0,1.0,17.0,1.0,650.0,13.0978039,77.5811889
Plot  Area,Ready To Move,Akshya Nagar,2 Bedroom,,1200,2.0,1.0,76.0,2.0,1200.0,13.0694057,77.5451149
Super built-up  Area,Ready To Move,Telecom Layout,2 BHK,,1200,1.0,1.0,54.0,2.0,1200.0,12.965528,77.5467051
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Arhid O,800,2.0,1.0,25.0,2.0,800.0,12.8009043,77.7114908
Super built-up  Area,20-Dec,Electronic City,4 BHK,KonteiT,2093,4.0,1.0,104.0,4.0,2093.0,12.8487599,77.648253
Super built-up  Area,18-Oct,Uttarahalli,3 BHK,,1320,2.0,2.0,55.44,3.0,1320.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1275,2.0,1.0,73.0,2.0,1275.0,12.9426506,77.6027253
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1215,2.0,2.0,43.13,2.0,1215.0,12.8742536,77.6260073
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1130,2.0,1.0,45.2,2.0,1130.0,12.9189383,77.5739265
Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1444,2.0,2.0,71.5,3.0,1444.0,12.8742536,77.6260073
Super built-up  Area,Ready To Move,Vikram Nagar,2 BHK,Ranorar,950,2.0,2.0,38.0,2.0,950.0,12.8994971,77.5613308
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1000,1.0,,90.0,2.0,1000.0,12.9181024,77.5576638
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,,1240,2.0,2.0,59.52,3.0,1240.0,12.8849238,77.5154846
Super built-up  Area,Ready To Move,Hennur,2 BHK,Adity T,1231,2.0,2.0,50.0,2.0,1231.0,13.037077,77.6413572
Super built-up  Area,Ready To Move,Benson Town,2 BHK,,1300,2.0,1.0,120.0,2.0,1300.0,12.997343,77.6036815
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,Aroomba,1713,3.0,2.0,110.0,3.0,1713.0,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1200,2.0,1.0,53.33,2.0,1200.0,13.1067228,77.6173956
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,AztheBr,3004,4.0,,158.0,3.0,3004.0,12.9244884,77.6451418
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,DSgam S,1310,2.0,0.0,46.0,3.0,1310.0,12.9433048,77.4801187
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Kuownri,790,2.0,1.0,49.5,2.0,790.0,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,1744,3.0,1.0,200.0,3.0,1744.0,12.9357366,77.624081
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1250,2.0,2.0,82.0,2.0,1250.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2476,3.0,3.0,337.0,3.0,2476.0,13.0027353,77.5703253
Built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1260,2.0,2.0,76.0,3.0,1260.0,12.8992578,77.5321721
Super built-up  Area,18-Aug,Rajaji Nagar,3 BHK,ProdsWe,1615,3.0,1.0,175.0,3.0,1615.0,12.9945063,77.554298
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1180,2.0,1.0,56.0,2.0,1180.0,13.1006982,77.5963454
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255,2.0,2.0,50.19,3.0,1255.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2.0,1.0,53.9,2.0,1025.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1877,4.0,2.0,150.0,3.0,1877.0,12.9244884,77.6451418
Plot  Area,Ready To Move,5th Block Hbr Layout,9 Bedroom,,2600,12.0,,675.0,9.0,2600.0,13.0374664,77.628799
Built-up  Area,Ready To Move,Hennur,5 Bedroom,,2500,5.0,2.0,125.0,5.0,2500.0,13.037077,77.6413572
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,,1542,3.0,2.0,98.0,3.0,1542.0,12.8509089,77.5986785
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2.0,2.0,105.0,2.0,1418.0,13.0170955,77.4829741
Built-up  Area,Ready To Move,Sarvabhouma Nagar,2 BHK,BhncyRe,1012,2.0,0.0,42.0,2.0,1012.0,12.9124073,77.5466561
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1200,2.0,1.0,65.0,2.0,1200.0,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,43.0,2.0,1115.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,VVbhion,1680,4.0,3.0,95.0,3.0,1680.0,12.9269039,77.6701877
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Saesttt,1171,2.0,2.0,72.0,2.0,1171.0,13.0069152,77.6882534
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,1027,2.0,1.0,68.62,2.0,1027.0,13.0161949,77.556284
Super built-up  Area,Ready To Move,Shampura,3 BHK,,1700,3.0,3.0,75.0,3.0,1700.0,13.0309565,77.6111581
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,SPavenc,1090,2.0,2.0,38.15,2.0,1090.0,12.9189383,77.5739265
Super built-up  Area,18-Jan,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,74.0,2.0,1232.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,Anekal,2 BHK,,766,2.0,2.0,28.0,2.0,766.0,12.7836552,77.7461411
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.0,1.0,525.0,12.8856913,77.5526564
Super built-up  Area,18-Aug,Hosa Road,3 BHK,Sosisic,142.61Sq. Meter,3.0,1.0,109.0,3.0,1535.0397790000002,12.8704543,77.6539943
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,1452,2.0,1.0,41.0,3.0,1452.0,12.9096941,77.5866067
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,Aharlve,1254,2.0,1.0,65.0,3.0,1254.0,12.8883623,77.6799727
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1593,3.0,1.0,118.0,3.0,1593.0,12.8856913,77.5526564
Super built-up  Area,Ready To Move,ITI Layout,2 BHK,Soarkge,1333,2.0,2.0,77.27,2.0,1333.0,12.9665733,77.5016708
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,,1100,3.0,1.0,110.0,3.0,1100.0,12.9912345,77.4870119
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Lancyey,1375,2.0,1.0,54.99,3.0,1375.0,12.932582,77.5162034
Super built-up  Area,Ready To Move,Ardendale,3 BHK,Mahtsba,1650,3.0,3.0,82.0,3.0,1650.0,13.0261749,77.766388
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,51.48,3.0,1430.0,13.0522499,77.6316152
Built-up  Area,Ready To Move,Electronic City,2 BHK,Pao 3ow,940,2.0,1.0,54.0,2.0,940.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Electronic City,1 BHK,GMown E,435,1.0,1.0,21.0,1.0,435.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,36.54,2.0,1160.0,12.8742536,77.6260073
Super built-up  Area,18-Mar,Electronic City,3 BHK,GMown E,1500,2.0,1.0,77.5,3.0,1500.0,12.8487599,77.648253
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1890,2.0,1.0,100.0,3.0,1890.0,12.9357366,77.624081
Built-up  Area,Ready To Move,Doopanahalli,2 BHK,,1050,2.0,1.0,70.0,2.0,1050.0,12.9674584,77.6396382
Plot  Area,Ready To Move,Singasandra,6 Bedroom,,1200,6.0,3.0,220.0,6.0,1200.0,12.8787382,77.642089
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,43.0,2.0,1027.0,12.9018012,77.6641767
Super built-up  Area,18-Dec,Whitefield,3 BHK,BSlasin,1390 - 1600,,,61.28,3.0,1495.0,12.9957428,77.7579489
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,4.0,2.0,235.0,3.0,3000.0,13.0164845,77.71748
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soubya ,1459,2.0,1.0,95.0,3.0,1459.0,13.0161949,77.556284
Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1711,3.0,3.0,85.61,3.0,1711.0,13.1006982,77.5963454
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,98.0,2.0,1250.0,12.9959233,77.7192796
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45,1.0,645.0,12.8009043,77.7114908
Plot  Area,Ready To Move,Anandapura,2 Bedroom,,875,2.0,1.0,57.0,2.0,875.0,13.0239276,77.6923621
Built-up  Area,18-Feb,Ramamurthy Nagar,2 BHK,,1334,2.0,1.0,67.0,2.0,1334.0,13.0120218,77.6777817
Built-up  Area,18-Dec,Huskur,2 BHK,,1140,2.0,1.0,32.92,2.0,1140.0,12.8607674,77.7071019
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0,2.0,1115.0,12.9244884,77.6451418
Plot  Area,Ready To Move,Amruthahalli,3 Bedroom,,1200,5.0,2.0,200.0,3.0,1200.0,13.0648426,77.5993429
Super built-up  Area,18-Aug,Rajaji Nagar,3 BHK,ProdsWe,1776,3.0,1.0,190.0,3.0,1776.0,12.9945063,77.554298
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,160.0,3.0,2072.0,13.0170955,77.4829741
Plot  Area,Ready To Move,Kundalahalli,3 Bedroom,Roima A,1600,3.0,2.0,170.0,3.0,1600.0,12.977594,77.7155586
Plot  Area,Ready To Move,Lakshmi Layout,6 Bedroom,,1200,4.0,2.0,115.0,6.0,1200.0,12.8913057,77.5878632
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,920,2.0,3.0,39.0,2.0,920.0,12.9229728,77.4842926
Super built-up  Area,19-Feb,Chandapura,2 BHK,PavesGr,598 - 958,2.0,0.0,25.29,2.0,778.0,12.8009043,77.7114908
Plot  Area,Ready To Move,Nagasandra,4 Bedroom,,1310,3.0,3.0,95.0,4.0,1310.0,13.0479536,77.5001422
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1631,3.0,2.0,80.0,3.0,1631.0,12.8487599,77.648253
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.5,1.0,525.0,12.8856913,77.5526564
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,1395,3.0,3.0,82.0,3.0,1395.0,13.0394104,77.5197351
Super built-up  Area,Ready To Move,Devi Nagar,3 BHK,Krtonwe,2000,3.0,2.0,105.0,3.0,2000.0,13.0161096,77.5288243
Super built-up  Area,18-Jul,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,66.0,2.0,1232.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,Virupakshapura,2 BHK,,1075,2.0,1.0,55.0,2.0,1075.0,13.0638109,77.5717581
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1205,2.0,2.0,70.0,2.0,1205.0,12.8856635,77.5416809
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5.0,1.0,129.0,4.0,2340.0,13.0529919,77.5842533
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,Amlisai,1179,2.0,1.0,55.0,3.0,1179.0,12.8795774,77.6719842
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160,2.0,2.0,40.6,2.0,1160.0,12.9055682,77.5455438
Plot  Area,Ready To Move,Thyagaraja Nagar,8 Bedroom,,1500Cents,6.0,2.0,290.0,8.0,653400.0,12.931392,77.5683011
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1200,2.0,2.0,62.5,2.0,1200.0,12.9119693,77.5882043
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255,2.0,3.0,50.19,3.0,1255.0,12.9055682,77.5455438
Built-up  Area,Ready To Move,Richmond Town,3 BHK,,1100,2.0,1.0,145.0,3.0,1100.0,12.963555,77.6015856
Plot  Area,Ready To Move,Kyalasanahalli,3 Bedroom,Ceonyy ,1200,3.0,2.0,99.0,3.0,1200.0,13.0564575,77.6591321
Super built-up  Area,Ready To Move,Kudlu Gate,1 BHK,,1400,1.0,1.0,285.0,1.0,1400.0,12.8899174,77.6396808
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Inden O,1065,2.0,2.0,55.0,2.0,1065.0,12.9552572,77.6984163
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1725,2.0,1.0,165.0,3.0,1725.0,13.050194,77.6075951
Built-up  Area,Ready To Move,Kengeri,3 BHK,,1436,2.0,2.0,55.0,3.0,1436.0,12.9176571,77.4837568
Super built-up  Area,Ready To Move,Amrita Nagar,6 BHK,,4250,6.0,3.0,150.0,6.0,4250.0,13.0260629,77.5750133
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0,3.0,1645.0,13.0382184,77.5919
Plot  Area,Ready To Move,Kengeri,2 Bedroom,,1200,2.0,0.0,58.0,2.0,1200.0,12.9176571,77.4837568
Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,940,2.0,1.0,43.61,2.0,940.0,12.9467026,77.5300705
Built-up  Area,Ready To Move,KR Puram,6 Bedroom,,4300,6.0,2.0,175.0,6.0,4300.0,13.007516,77.695935
Super built-up  Area,20-Dec,Hebbal,3 BHK,Cehosy ,2850,5.0,3.0,343.0,3.0,2850.0,13.0382184,77.5919
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1740,3.0,2.0,191.0,3.0,1740.0,12.9732913,77.6404672
Super built-up  Area,18-May,Haralur Road,2 BHK,,1194,2.0,2.0,47.0,2.0,1194.0,12.9018012,77.6641767
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3761,3.0,2.0,650.0,3.0,3761.0,13.0110193,77.5808641
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1829,3.0,2.0,125.0,3.0,1829.0,12.9725581,77.692858
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,1800,4.0,3.0,178.0,4.0,1800.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Austin Town,2 BHK,,1000,2.0,1.0,60.0,2.0,1000.0,12.9612736,77.6152935
Built-up  Area,Ready To Move,Venkatapura,3 Bedroom,,5720,3.0,0.0,350.0,3.0,5720.0,12.8839153,77.47028
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,675,1.0,1.0,15.0,2.0,675.0,12.9857708,77.4789451
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Chtert ,1390,2.0,2.0,95.0,2.0,1390.0,13.0382184,77.5919
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,2047,3.0,2.0,136.0,3.0,2047.0,12.9709537,77.5373851
Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1202,2.0,1.0,79.0,2.0,1202.0,13.0784743,77.6068938
Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,2132,3.0,3.0,80.0,3.0,2132.0,12.9209772,77.7361016
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1350,4.0,3.0,340.0,4.0,1350.0,12.932582,77.5162034
Super built-up  Area,Ready To Move,Whitefield,1 BHK,,605,1.0,1.0,40.0,1.0,605.0,12.9957428,77.7579489
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1331,2.0,1.0,88.0,2.0,1331.0,12.9058923,77.675465
Plot  Area,18-May,Margondanahalli,2 Bedroom,,1200,2.0,0.0,69.0,2.0,1200.0,13.0302592,77.6935252
Built-up  Area,Ready To Move,Kumara Park,2 BHK,,1150,2.0,0.0,250.0,2.0,1150.0,12.9922298,77.5783472
Plot  Area,Ready To Move,Sahakara Nagar,2 Bedroom,,1200,2.0,1.0,136.0,2.0,1200.0,13.0621474,77.5800614
Built-up  Area,Ready To Move,Anand Nagar,2 Bedroom,Bebalrk,1800,2.0,0.0,300.0,2.0,1800.0,13.0346991,77.5944561
Plot  Area,Ready To Move,Kammanahalli,3 Bedroom,,600,2.0,1.0,50.0,3.0,600.0,13.0148544,77.6382029
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,62.0,2.0,1007.0,12.9377243,77.7280705
Super built-up  Area,18-May,Thanisandra,3 BHK,SLityee,1370,2.0,1.0,61.0,3.0,1370.0,13.0522499,77.6316152
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,35.0,2.0,925.0,13.0344453,77.6766779
Super built-up  Area,Ready To Move,TC Palaya,2 BHK,,1500,2.0,0.0,75.0,2.0,1500.0,13.0105743,77.6932572
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,12.5,1.0,450.0,12.7751249,77.7709216
Built-up  Area,Ready To Move,Peenya,4 Bedroom,,1200,4.0,1.0,140.0,4.0,1200.0,13.0330515,77.5332233
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341,2.0,1.0,95.0,2.0,1341.0,13.0351224,77.631944
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2.0,2.0,47.25,3.0,1350.0,12.8653002,77.5372382
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,992,2.0,1.0,60.0,2.0,992.0,13.0161949,77.556284
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,RaontWa,1163,2.0,2.0,68.0,2.0,1163.0,12.9055682,77.5455438
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1229,2.0,2.0,70.0,2.0,1229.0,12.9244884,77.6451418
Plot  Area,Ready To Move,Gowdanapalya,2 Bedroom,,600,2.0,2.0,39.0,2.0,600.0,12.9082156,77.5577974
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.26,2.0,1219.0,12.8473999,77.6724452
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1525,2.0,2.0,99.13,3.0,1525.0,12.932582,77.5162034
Super built-up  Area,20-Jun,Kasavanhalli,2 BHK,Esareap,1147,2.0,1.0,60.0,2.0,1147.0,12.9047595,77.6759172
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1412,2.0,3.0,88.0,3.0,1412.0,13.0195427,77.6831272
Super built-up  Area,19-Jun,Sarjapur  Road,2 BHK,,1044,2.0,1.0,34.77,2.0,1044.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,KohraNa,1190,2.0,2.0,63.0,2.0,1190.0,12.9512353,77.519054
Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,,1240,2.0,2.0,65.0,3.0,1240.0,12.939922,77.4913207
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1352,3.0,1.0,65.0,3.0,1352.0,12.7764978,77.6326204
Built-up  Area,Ready To Move,Ashwathnagar,2 BHK,,1100,2.0,2.0,55.0,2.0,1100.0,13.026056,77.5789157
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,39.9,3.0,1330.0,12.9055682,77.5455438
Super built-up  Area,20-Nov,RR Layout,3 BHK,,1700,3.0,2.0,111.0,3.0,1700.0,12.9156177,77.6347321
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355,2.0,1.0,67.0,2.0,1355.0,12.8487599,77.648253
Super built-up  Area,18-Nov,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,46.0,2.0,1200.0,13.0120218,77.6777817
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,400,2.0,1.0,25.0,1.0,400.0,12.9176571,77.4837568
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Tiare S,1342,2.0,,70.0,2.0,1342.0,12.9244884,77.6451418
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615,3.0,2.0,50.87,3.0,1615.0,12.8742536,77.6260073
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,,1340,2.0,1.0,65.0,2.0,1340.0,12.9872184,77.5230958
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2.0,1.0,54.0,2.0,1200.0,13.0763895,77.6057269
Built-up  Area,Ready To Move,Yeshwanthpur,1 Bedroom,,400,1.0,0.0,55.0,1.0,400.0,13.0176937,77.5555009
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2.0,1.0,52.0,2.0,1080.0,13.142344,77.7339688
Super built-up  Area,Ready To Move,Gollahalli,2 BHK,SuanaNa,1600,2.0,1.0,31.0,2.0,1600.0,12.821532,77.5852714
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prtor N,1200,2.0,0.0,34.0,2.0,1200.0,12.8487599,77.648253
Plot  Area,17-Apr,Hennur Road,3 Bedroom,,2700,3.0,2.0,150.0,3.0,2700.0,13.0351224,77.631944
Built-up  Area,Ready To Move,Billapura,3 Bedroom,,1780,3.0,0.0,110.0,3.0,1780.0,12.8410686,77.7887246
Built-up  Area,Ready To Move,Amruthahalli,3 BHK,Pranai ,1605,3.0,2.0,65.0,3.0,1605.0,13.0648426,77.5993429
Super built-up  Area,17-Sep,Ulsoor,4 BHK,,7200,5.0,2.0,1584.0,4.0,7200.0,12.9778793,77.6246697
Plot  Area,Ready To Move,Doddabommasandra,3 Bedroom,,646,2.0,1.0,65.0,3.0,646.0,13.0544347,77.559327
Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,Bhide P,1200,2.0,2.0,80.0,2.0,1200.0,13.0148544,77.6382029
Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,900,2.0,0.0,49.0,2.0,900.0,13.0302592,77.6935252
Built-up  Area,19-Dec,Sarjapur,3 Bedroom,,1830,3.0,1.0,88.0,3.0,1830.0,12.9694037,77.5870258
Built-up  Area,Ready To Move,Chandapura,3 BHK,,715,2.0,0.0,32.0,3.0,715.0,12.8009043,77.7114908
Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1230,2.0,2.0,31.37,3.0,1230.0,12.8009043,77.7114908
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1065,2.0,1.0,42.59,2.0,1065.0,12.9055682,77.5455438
Plot  Area,Ready To Move,Srinagar,3 Bedroom,,1080,3.0,2.0,149.0,3.0,1080.0,12.9484488,77.5514971
